instance,i,j,LIME_Feature_Agreement,LIME_Rank_Agreement,LIME_Sign_Agreement,LIME_Signed_Rank_Agreement,LIME_Cos_Similarity_Ranks,LIME_Cos_Similarity_Weights,LIME_Euclidean_Distance_Weights,LIME_Manhattan_Distance_Weights
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.9,0.4,0.9,0.4,0.9579058699101004,0.9674322445715998,0.04351687614124779,0.20607435164953078
0.0,0.0,2.0,0.9,0.4,0.9,0.4,0.9713379164463247,0.9710051219893463,0.04142365764577025,0.19529562959848165
0.0,0.0,3.0,1.0,0.3,1.0,0.3,0.9713379164463248,0.9721638960304062,0.04077402573645104,0.17120555270027443
0.0,0.0,4.0,0.9,0.3,0.9,0.3,0.971549444738234,0.9599317105617913,0.04820774149692805,0.2280321769384848
0.0,0.0,5.0,0.9,0.6,0.9,0.6,0.9741935483870969,0.9767474362043015,0.0370069263573663,0.162429349463708
0.0,0.0,6.0,0.9,0.4,0.9,0.4,0.9676361713379165,0.9730017937082406,0.039740754092651584,0.17341973605096164
0.0,0.0,7.0,0.8,0.5,0.8,0.5,0.9742993125330512,0.9738187483662918,0.03911110199776543,0.17672717644187072
0.0,0.0,8.0,0.8,0.3,0.8,0.3,0.9682707562136437,0.9701087267790762,0.04171366413296003,0.1888024545800725
0.0,0.0,9.0,0.9,0.4,0.9,0.4,0.9607615018508727,0.9709895553567972,0.0411051941527069,0.1861476715249548
0.0,1.0,2.0,1.0,0.3,1.0,0.3,0.952300370174511,0.9645950854092751,0.04540887348927375,0.19344718512153597
0.0,1.0,3.0,0.9,0.4,0.9,0.4,0.9576943416181916,0.9488334486031363,0.05483071312104014,0.24809502186915647
0.0,1.0,4.0,1.0,0.5,1.0,0.5,0.9583289264939187,0.9627095433167985,0.045595774170647,0.18727693186086086
0.0,1.0,5.0,0.9,0.4,0.9,0.4,0.9488101533580114,0.9592259027274016,0.04740005774378562,0.2048617852630595
0.0,1.0,6.0,1.0,0.3,1.0,0.3,0.9713379164463247,0.9711280279436187,0.03993453490770568,0.1665085881831732
0.0,1.0,7.0,0.9,0.5,0.9,0.5,0.9532522474881016,0.9626660332475943,0.04596082067452602,0.20216735005032258
0.0,1.0,8.0,0.9,0.4,0.9,0.4,0.9365415124272872,0.9533398710089713,0.05094965689331761,0.22686176989438034
0.0,1.0,9.0,1.0,0.3,1.0,0.3,0.9529349550502381,0.9737137145297772,0.038237146866545155,0.17656584648428453
0.0,2.0,3.0,0.9,0.2,0.9,0.2,0.9783183500793232,0.9734554233096415,0.0398377214467719,0.18173382968971313
0.0,2.0,4.0,1.0,0.5,1.0,0.5,0.9658381808566895,0.9718499565240276,0.04055740385460218,0.18507841984884274
0.0,2.0,5.0,0.9,0.4,0.9,0.4,0.9570597567424644,0.9686099554002158,0.04284815325208316,0.18002456470065867
0.0,2.0,6.0,1.0,0.7,1.0,0.7,0.9556848228450556,0.9718882668862782,0.0405981835690482,0.19394072391533904
0.0,2.0,7.0,0.9,0.4,0.9,0.4,0.9610787942887361,0.9683393193635501,0.04303738294357457,0.1830771659734453
0.0,2.0,8.0,0.9,0.3,0.9,0.3,0.9618191433104178,0.9539832877416247,0.05166966227513011,0.2326418630283235
0.0,2.0,9.0,1.0,0.5,1.0,0.5,0.9612903225806451,0.9827988983277026,0.03190296077198291,0.14347258097956284
0.0,3.0,4.0,0.9,0.2,0.9,0.2,0.9568482284505553,0.9694991077533667,0.04253528799605623,0.1836299052645872
0.0,3.0,5.0,0.9,0.3,0.9,0.3,0.9530407191961924,0.9784151996783789,0.03622345948953757,0.16564733037014817
0.0,3.0,6.0,0.9,0.3,0.9,0.3,0.9632998413537812,0.9690055709144516,0.042971022233217415,0.18808622754391036
0.0,3.0,7.0,0.8,0.4,0.8,0.4,0.9632998413537812,0.9632915969026942,0.04661025890413672,0.20432325194219517
0.0,3.0,8.0,0.8,0.6,0.8,0.6,0.9459545214172396,0.9563545696523663,0.05069340791366047,0.23261928078085223
0.0,3.0,9.0,0.9,0.2,0.9,0.2,0.965520888418826,0.9610510425604442,0.047942367462872656,0.21464807407438163
0.0,4.0,5.0,0.9,0.4,0.9,0.4,0.9776837652035959,0.971860605584713,0.03938458725714617,0.16803168515204317
0.0,4.0,6.0,1.0,0.5,1.0,0.5,0.9763088313061873,0.9750659655105129,0.03710373931905764,0.1549967765091503
0.0,4.0,7.0,0.9,0.4,0.9,0.4,0.9762030671602328,0.9744732585065163,0.03801642264410058,0.17924315180568354
0.0,4.0,8.0,0.9,0.2,0.9,0.2,0.9607615018508727,0.9591703782406336,0.04764623958455584,0.22572289360643405
0.0,4.0,9.0,1.0,0.4,1.0,0.4,0.9554732945531463,0.9557010865105344,0.04962168456304441,0.21806938908947554
0.0,5.0,6.0,0.9,0.4,0.9,0.4,0.9712321523003702,0.9784791804318993,0.03417558519379759,0.15519185671283686
0.0,5.0,7.0,0.9,0.7,0.9,0.7,0.9591750396615547,0.9736059745863372,0.03858556944517078,0.16943004563446468
0.0,5.0,8.0,0.8,0.4,0.8,0.4,0.9635113696456902,0.9719716912586064,0.039243819062405816,0.17247945092380507
0.0,5.0,9.0,0.9,0.4,0.9,0.4,0.9496562665256476,0.959171080689261,0.047335344387160284,0.20942931874390744
0.0,6.0,7.0,0.9,0.4,0.9,0.4,0.9751454257006877,0.9815166830162276,0.03237008818737984,0.1492402981150306
0.0,6.0,8.0,0.9,0.3,0.9,0.3,0.9656266525647808,0.9762228859470583,0.03617763596629205,0.16648514098208256
0.0,6.0,9.0,1.0,0.4,1.0,0.4,0.9764145954521417,0.970568639693983,0.040233708147828326,0.1734895260744129
0.0,7.0,8.0,0.8,0.5,0.8,0.5,0.9660497091485987,0.9700159681484837,0.04116803605310599,0.1790120035518351
0.0,7.0,9.0,0.9,0.4,0.9,0.4,0.9593865679534639,0.9598620539935533,0.04760419615485803,0.20749214059953183
0.0,8.0,9.0,0.9,0.3,0.9,0.3,0.9634056054997358,0.9606068836689073,0.046740787101478165,0.21200736101491746
1.0,0.0,1.0,0.8,0.3,0.8,0.3,0.9472236911686938,0.9584400786366202,0.04490035541655771,0.20121972805324842
1.0,0.0,2.0,0.8,0.7,0.8,0.7,0.970386039132734,0.974498960667289,0.035315237196773194,0.1497992992589037
