instance,i,j,HELIME_feature_agreement,HELIME_rank_agreement,HELIME_sign_agreement,HELIME_signed_rank_agreement,HELIME_cos_similarity_rank,HELIME_cos_similarity_weights,HELIME_euclidean_distance_weights,HELIME_manhattan_distance_weights
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.9,0.3,0.9,0.3,0.9633666253553982,0.9509891686404097,0.0330174257386388,0.08165930923140526
0.0,0.0,2.0,0.9,0.1,0.9,0.1,0.9499526135452361,0.9713993723449437,0.02431743924170756,0.06419497995027551
0.0,0.0,3.0,0.9,0.3,0.9,0.3,0.9524677407596415,0.9809945260508132,0.01785770199509274,0.056907779191234485
0.0,0.0,4.0,0.8,0.1,0.8,0.1,0.9456513814974119,0.9706101044648688,0.02571208319314403,0.06860316442816235
0.0,0.0,5.0,0.9,0.3,0.9,0.3,0.9608150470219435,0.9613853802370301,0.026417326704571323,0.0674258462493351
0.0,0.0,6.0,0.8,0.2,0.8,0.2,0.9461616971641031,0.9693221889773227,0.02705692448694956,0.06588534265747566
0.0,0.0,7.0,0.9,0.1,0.9,0.1,0.9647517678792741,0.96897022327377,0.024223480742550207,0.08134053715826109
0.0,0.0,8.0,0.9,0.0,0.9,0.0,0.9403295181162064,0.9589360347824634,0.032096114990089526,0.0791463081917609
0.0,0.0,9.0,0.9,0.3,0.9,0.3,0.9476561930451265,0.9790950701560343,0.01854977782814969,0.06462224573292363
0.0,1.0,2.0,1.0,0.3,1.0,0.3,0.9774003061894,0.9935188195426744,0.012185543312393372,0.04343356016375124
0.0,1.0,3.0,1.0,0.3,1.0,0.3,0.9752861412845373,0.9851469601373593,0.019668044000089365,0.0562329596011124
0.0,1.0,4.0,0.9,0.4,0.9,0.4,0.9666107749507911,0.9888747445964661,0.015161782746656595,0.055814517286283845
0.0,1.0,5.0,1.0,0.6,1.0,0.6,0.9573157395932055,0.9885614628050249,0.016362032496845924,0.051933568217438046
0.0,1.0,6.0,0.9,0.3,0.9,0.3,0.9643143544506816,0.9926128982527839,0.012311920111441953,0.04560999023652725
0.0,1.0,7.0,1.0,0.3,1.0,0.3,0.9788583509513741,0.9848432155682494,0.018257140748262027,0.055008521423699164
0.0,1.0,8.0,1.0,0.2,1.0,0.2,0.9499890646642852,0.9913691528231791,0.013604799618372581,0.051919356406977965
0.0,1.0,9.0,1.0,0.8,1.0,0.8,0.9530874097834803,0.9820247789281566,0.021233458770360137,0.0642707001386744
0.0,2.0,3.0,1.0,0.5,1.0,0.5,0.9712765181891085,0.9912879457514899,0.01377392605634892,0.043704726521549345
0.0,2.0,4.0,0.9,0.4,0.9,0.4,0.9648975723554715,0.9958188710529907,0.009165689300734595,0.03801607440006964
0.0,2.0,5.0,1.0,0.3,1.0,0.3,0.962273091783918,0.9850268683127844,0.016720933902554153,0.058048907822931484
0.0,2.0,6.0,0.9,0.5,0.9,0.5,0.9543267478311583,0.9971684947999172,0.00821043213236845,0.038065369372845506
0.0,2.0,7.0,1.0,0.8,1.0,0.8,0.9665743238317416,0.9917231008019335,0.012475301228059937,0.04307585207308675
0.0,2.0,8.0,1.0,0.4,1.0,0.4,0.9445942990449807,0.9898637417173329,0.01570052213083893,0.05575818883191369
0.0,2.0,9.0,1.0,0.3,1.0,0.3,0.9658088503317052,0.987209515525873,0.016280534986002744,0.052465489916716936
0.0,3.0,4.0,0.9,0.3,0.9,0.3,0.9599037690457097,0.9914310911869537,0.014776433185996989,0.0487665495312741
0.0,3.0,5.0,1.0,0.5,1.0,0.5,0.9572428373551068,0.9860773339311394,0.01588788168208557,0.05569365717248209
0.0,3.0,6.0,0.9,0.3,0.9,0.3,0.9550557702121455,0.9896249475926538,0.01674701098255007,0.05393483591427303
0.0,3.0,7.0,1.0,0.6,1.0,0.6,0.9618356783553254,0.9870280299480239,0.015548710650793584,0.053253648061878316
0.0,3.0,8.0,1.0,0.4,1.0,0.4,0.9574250929503538,0.9881781958564066,0.019535373314574174,0.06024504990217291
0.0,3.0,9.0,1.0,0.3,1.0,0.3,0.9671575417365312,0.9923981618221118,0.011179801191029815,0.04255139727689348
0.0,4.0,5.0,0.9,0.2,0.9,0.2,0.9551286724502444,0.987625135832429,0.01581396159547844,0.05935442126294181
0.0,4.0,6.0,0.9,0.3,0.9,0.3,0.9556025369978859,0.9972467246455636,0.007546314219108559,0.0343787885496722
0.0,4.0,7.0,0.9,0.3,0.9,0.3,0.9640227454982869,0.985984726563096,0.016665900258309756,0.05907570244551306
0.0,4.0,8.0,0.9,0.2,0.9,0.2,0.9638040387839905,0.9864608608053982,0.017261795253941597,0.05720466073118728
0.0,4.0,9.0,0.9,0.5,0.9,0.5,0.9652256324269157,0.9818411081501716,0.019877635128421597,0.07018472120390487
0.0,5.0,6.0,0.9,0.2,0.9,0.2,0.9679230152365679,0.9887260688529155,0.015759933230897333,0.058460409164002414
0.0,5.0,7.0,1.0,0.4,1.0,0.4,0.9615805205219801,0.9831623737478008,0.01739730311043017,0.059380849026967164
0.0,5.0,8.0,1.0,0.3,1.0,0.3,0.9308157760443243,0.9778216460332612,0.022663661891310378,0.08013357481560524
0.0,5.0,9.0,1.0,0.4,1.0,0.4,0.971641029379602,0.9852573061656994,0.016379252753984254,0.05910409920207861
