instance,i,j,LIME_Feature_Agreement,LIME_Rank_Agreement,LIME_Sign_Agreement,LIME_Signed_Rank_Agreement,LIME_Cos_Similarity_Ranks,LIME_Cos_Similarity_Weights,LIME_Euclidean_Distance_Weights,LIME_Manhattan_Distance_Weights
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.5,0.3,0.5,0.3,0.8154115331340672,0.990447669208825,0.06503109917641765,0.3609280755423571
0.0,0.0,2.0,0.4,0.2,0.4,0.2,0.8249981774440477,0.9891379603269059,0.0687354559258922,0.36407704339692726
0.0,0.0,3.0,0.5,0.3,0.5,0.3,0.8180360137056206,0.9874391140356178,0.07476620074252878,0.40382577920874096
0.0,0.0,4.0,0.4,0.2,0.4,0.2,0.8661150397317198,0.9892018193583741,0.06891104626385167,0.35340349437425445
0.0,0.0,5.0,0.4,0.3,0.4,0.3,0.790843478894802,0.9866287109599671,0.07620208648588714,0.37577836085014665
0.0,0.0,6.0,0.4,0.2,0.3,0.2,0.829044251658526,0.9847730059043088,0.08133079017016931,0.39851427830458913
0.0,0.0,7.0,0.4,0.2,0.4,0.2,0.8316687322300796,0.9815417516452971,0.08941855049218435,0.4631221508128895
0.0,0.0,8.0,0.3,0.2,0.3,0.2,0.7984617627761172,0.9870947142773813,0.07549888208426708,0.4234816555808358
0.0,0.0,9.0,0.3,0.2,0.3,0.2,0.7895312386090254,0.9815612232622439,0.08955315394807938,0.49126658365116066
0.0,1.0,2.0,0.3,0.2,0.3,0.2,0.7785230006561202,0.9875154596456501,0.07445220386610353,0.41173731088827953
0.0,1.0,3.0,0.4,0.2,0.3,0.2,0.8559087263979004,0.9838694938595876,0.08551384119459474,0.43028577594454775
0.0,1.0,4.0,0.5,0.3,0.5,0.3,0.8008310855143254,0.9873922389969881,0.07476788998502058,0.3794636471868033
0.0,1.0,5.0,0.5,0.4,0.5,0.4,0.8217175767296053,0.9875595005381318,0.07437374680838084,0.36415771338361147
0.0,1.0,6.0,0.2,0.2,0.2,0.2,0.8173434424436833,0.984550683136542,0.08288123270582677,0.4532449654912492
0.0,1.0,7.0,0.2,0.2,0.2,0.2,0.7547204199168914,0.9773927066520864,0.09971550691204613,0.5336321257335163
0.0,1.0,8.0,0.3,0.3,0.3,0.3,0.7719617992272364,0.9803628087069153,0.09361300793956925,0.5078071584132782
0.0,1.0,9.0,0.3,0.2,0.3,0.2,0.8152292775388206,0.9866185905019925,0.07689580634880529,0.40203911627137423
0.0,2.0,3.0,0.4,0.2,0.4,0.2,0.8211708099438654,0.985630332204637,0.07794631152350724,0.4088839797768474
0.0,2.0,4.0,0.4,0.2,0.4,0.2,0.8247794707297513,0.9871713149795299,0.07507290045606231,0.39932206790646024
0.0,2.0,5.0,0.5,0.2,0.4,0.2,0.8436246992782677,0.985535920650536,0.07831685148642718,0.3847926406670513
0.0,2.0,6.0,0.4,0.2,0.2,0.2,0.768462491798498,0.9809788039333318,0.08959969653287417,0.4553403171254002
0.0,2.0,7.0,0.4,0.4,0.3,0.3,0.7840635707516221,0.9801665645929254,0.09172891235510289,0.4667685325617247
0.0,2.0,8.0,0.5,0.2,0.4,0.2,0.8375009112779762,0.9856210899634661,0.07790104718984954,0.42222077470298097
0.0,2.0,9.0,0.3,0.2,0.3,0.2,0.7905518699424073,0.984271136088243,0.08217355857086994,0.4327531976518947
0.0,3.0,4.0,0.4,0.2,0.4,0.2,0.852372967850113,0.9832057389397219,0.08656270020209363,0.43388964468860375
0.0,3.0,5.0,0.4,0.2,0.4,0.2,0.7797987898228477,0.9861509644878009,0.07639534878456918,0.3805198953886145
0.0,3.0,6.0,0.3,0.2,0.2,0.2,0.8591528759932932,0.9836824693108741,0.08226604842969912,0.42182321075463464
0.0,3.0,7.0,0.4,0.2,0.3,0.2,0.7945614930378362,0.9798528831459935,0.09194177920753326,0.48459700210274453
0.0,3.0,8.0,0.3,0.2,0.3,0.2,0.7943427863235404,0.9835203330404487,0.08186793127662188,0.4247158344936703
0.0,3.0,9.0,0.5,0.2,0.4,0.2,0.8312313188014874,0.9842381132543488,0.0825221091756224,0.44511195706255346
0.0,4.0,5.0,0.7,0.3,0.7,0.3,0.8558722752788509,0.9902831935043572,0.06553877063526618,0.3076688694688141
0.0,4.0,6.0,0.2,0.2,0.2,0.2,0.838157031420865,0.9843940823091766,0.0828430265762118,0.4577054285401424
0.0,4.0,7.0,0.4,0.2,0.3,0.2,0.8350586863016695,0.9815538168072219,0.08982631381678546,0.4388692676915042
0.0,4.0,8.0,0.6,0.2,0.5,0.2,0.8360793176350514,0.9795345347478505,0.09494651811355219,0.4839392463159408
